Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 134.0.6998.179,,,04-04-2025 13:24:36,04-04-2025 13:27:45,3m - 8.267s,PASSED
,,,,,,,
Test Cases/Login/Login with empty username and password,Chrome 134.0.6998.179,,,04-04-2025 13:24:37,04-04-2025 13:24:55,17.925s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 13:24:37,04-04-2025 13:24:53,15.879s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 13:24:53,04-04-2025 13:24:53,0.447s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredUsernameTxt""), ""Username is required"")",Chrome 134.0.6998.179,,,04-04-2025 13:24:53,04-04-2025 13:24:54,0.543s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredPasswordTxt""), ""Password is required"")",Chrome 134.0.6998.179,,,04-04-2025 13:24:54,04-04-2025 13:24:54,0.368s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 13:24:54,04-04-2025 13:24:55,0.388s,PASSED
,,,,,,,
Test Cases/Login/Login with the empty password,Chrome 134.0.6998.179,,,04-04-2025 13:24:55,04-04-2025 13:25:10,14.986s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 13:24:55,04-04-2025 13:25:07,12.517s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/usernameInput""), ""gggggggggg"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:07,04-04-2025 13:25:08,0.927s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 13:25:08,04-04-2025 13:25:09,0.415s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredPasswordTxt""), ""Password is required"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:09,04-04-2025 13:25:09,0.538s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 13:25:09,04-04-2025 13:25:10,0.360s,PASSED
,,,,,,,
Test Cases/Login/Login with the empty username,Chrome 134.0.6998.179,,,04-04-2025 13:25:10,04-04-2025 13:25:24,14.623s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:10,04-04-2025 13:25:22,12.524s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/passwordInput""), ""huy123"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:22,04-04-2025 13:25:23,0.649s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 13:25:23,04-04-2025 13:25:23,0.362s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/requiredUsernameTxt""), ""Username is required"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:23,04-04-2025 13:25:24,0.520s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 13:25:24,04-04-2025 13:25:24,0.332s,PASSED
,,,,,,,
Test Cases/Login/Login with the password less than six characters,Chrome 134.0.6998.179,,,04-04-2025 13:25:24,04-04-2025 13:25:39,14.792s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:24,04-04-2025 13:25:36,11.922s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/usernameInput""), ""nguyenqhuy75310111"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:36,04-04-2025 13:25:37,0.722s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/passwordInput""), ""huy12"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:37,04-04-2025 13:25:38,0.630s,PASSED
"click(findTestObject(""UI/Page_Login - Wolfden/loginBtn""))",Chrome 134.0.6998.179,,,04-04-2025 13:25:38,04-04-2025 13:25:38,0.417s,PASSED
"verifyElementText(findTestObject(""UI/Page_Login - Wolfden/passwordLarger6CharactersTxt""), ""Password must be at least 6 character"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:38,04-04-2025 13:25:39,0.508s,PASSED
closeBrowser(),Chrome 134.0.6998.179,,,04-04-2025 13:25:39,04-04-2025 13:25:39,0.418s,PASSED
,,,,,,,
Test Cases/Login/Password is encrypted,Chrome 134.0.6998.179,,,04-04-2025 13:25:39,04-04-2025 13:26:02,23.406s,PASSED
"authorizepackage.authorizekeyword.authorize(""racebook"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:39,04-04-2025 13:25:51,11.850s,PASSED
"setText(findTestObject(""UI/Page_Login - Wolfden/usernameInput""), ""nguyenquochuy753101"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:51,04-04-2025 13:25:52,0.674s,PASSED
delay(3),Chrome 134.0.6998.179,,,04-04-2025 13:25:52,04-04-2025 13:25:55,3.020s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""h"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:55,04-04-2025 13:25:55,0.462s,PASSED
delay(0.5),Chrome 134.0.6998.179,,,04-04-2025 13:25:55,04-04-2025 13:25:56,0.515s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""u"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:56,04-04-2025 13:25:56,0.320s,PASSED
delay(0.5),Chrome 134.0.6998.179,,,04-04-2025 13:25:56,04-04-2025 13:25:57,0.505s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""y"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:57,04-04-2025 13:25:57,0.300s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""1"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:57,04-04-2025 13:25:57,0.295s,PASSED
delay(0.5),Chrome 134.0.6998.179,,,04-04-2025 13:25:57,04-04-2025 13:25:58,0.510s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""2"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:58,04-04-2025 13:25:58,0.343s,PASSED
delay(0.5),Chrome 134.0.6998.179,,,04-04-2025 13:25:58,04-04-2025 13:25:59,0.512s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""3"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:59,04-04-2025 13:25:59,0.309s,PASSED
delay(0.5),Chrome 134.0.6998.179,,,04-04-2025 13:25:59,04-04-2025 13:25:59,0.514s,PASSED
"sendKeys(findTestObject(""Object Repository/UI/Page_Login - Wolfden/passwordInput""), ""1"")",Chrome 134.0.6998.179,,,04-04-2025 13:25:59,04-04-2025 13:26:00,0.290s,PASSED
